"Username","group2","Reach"
"@___brc___","Public",1113
"@___jammy","Public",66
"@___melissa___","Scientists",381
"@__alicia_marie","Scientists",54
"@__amylulu","Scientists",172
"@__birdrs__","Scientists",991
"@__clare__","Public",221
"@__constance__","Public",276
"@__coo","Scientists",19340
"@__danielbennett","Public",296
"@__emsea","Public",286
"@__fairy_tale__","Media",24
"@__glaceon","Public",90
"@__pojayilkf_","Public",3
"@_2_turnt","Public",785
"@_aacc","Public",3723
"@_abhisuri","Scientists",229
"@_adamstevens","Scientists",19
"@_adietzel","Scientists",8
"@_adventuretours","Public",780
"@_adverbia","Outreach",1352
"@_alfredonovo","Public",112
"@_ambitiouswomen","Scientists",344
"@_ambitiouswomen","Media",344
"@_ameta","Scientists",323
"@_andreamightnot","Public",44
"@_andyclements","Applied",3633
"@_angelika_k","Public",65
"@_animaladvocate","Media",17606
"@_anomandaris","Public",128
"@_ashleylimon_","Public",186
"@_atanas_","Scientists",17527
"@_babug","Scientists",337
"@_bartcoenen","Media",1566
"@_bct_","Public",25308
"@_beautevil_","Public",26
"@_beccaharrison","Scientists",926
"@_beckyboom","Public",393
"@_beshlie","Public",221
"@_bethdavidson","Scientists",158
"@_biancasantos9","Scientists",60
"@_biia_araujoo","Public",105
"@_bioengineer","Media",23961
"@_biogeek","Scientists",85
"@_bobgoldstein","Public",205
"@_bransby_","Public",511
"@_briandaxll","Public",189
"@_bridge8","Public",909
"@_brindlemum_x","Public",215
"@_bto","Applied",40104
"@_cabingirl","Public",591
"@_carlymonks","Scientists",425
"@_carlywheeler","Scientists",162
"@_casscb","Public",44
"@_chandnisingh","Scientists",620
"@_changingplanet","Scientists",122
"@_charlottecc_","Media",286
"@_charlotteeve_","Scientists",602
"@_choward","Scientists",146
"@_chris_lambert","Scientists",31
"@_chrisace_","Media",41
"@_chrislanderson","Scientists",79
"@_citizen_zero_","Media",298
"@_colm_","Scientists",176
"@_coraltriangle_","Public",757
"@_crosby_","Public",230
"@_danielshields","Scientists",18
"@_davidjblack","Scientists",57
"@_davidjblack","Media",57
"@_davidjwalsh","Public",1017
"@_dcal","Public",80
"@_dfrr","Public",303
"@_dirty_truth","Public",176
"@_divestac","Scientists",29
"@_djli","Scientists",208
"@_doctorchris","Scientists",715
"@_donal_","Public",66
"@_drpop_","Scientists",122
"@_drpop_","Media",122
"@_dtwok","Public",108
"@_dube","Public",279
"@_ecologist","Scientists",87
"@_ecologist","Media",87
"@_ecologytom","Scientists",28
"@_elh_","Scientists",603
"@_elh_","Media",603
"@_elliemayhew","Public",363
"@_endharassment","Public",470
"@_envirozone_","Scientists",1244
"@_erin_louise","Scientists",70
"@_estherlee","Public",97
"@_euit","Public",188
"@_fleecepants","Scientists",39
"@_forwildlife","Public",436
"@_g_v_k_","Public",29
"@_geonaut","Public",65
"@_georgeholmes","Scientists",36
"@_giveitago","Public",177
"@_gizmo_","Public",170
"@_glitterworm","Scientists",155
"@_greenwings","Public",1123
"@_hannah_marley_","Scientists",16
"@_hannahshorty","Scientists",349
"@_harrypalmer_","Media",67
"@_haveaseat","Public",634
"@_helenafern_","Public",287
"@_hollybarclay_","Scientists",104
"@_homnivorax","Public",19
"@_hopeolexa","Public",285
"@_iamscientist","Public",934
"@_icu812_","Public",4334
"@_ieuan","Media",1050
"@_ihrr","Scientists",673
"@_imanneee","Public",76
"@_infraculture","Public",764
"@_initia__tive_","Public",10
"@_inundata","Scientists",3324
"@_isabel_jones","Scientists",173
"@_ivan_ramirez","Applied",849
"@_jabman_","Public",122
"@_jackielo_","Scientists",321
"@_jamesgoldsmith","Scientists",232
"@_janee_doee","Public",92
"@_jaysun","Scientists",75
"@_jbenning","Scientists",34
"@_jeff_nelson","Media",2563
"@_jeffguo","Public",1127
"@_jemaccuspie","Media",920
"@_jessmaydawson","Public",100
"@_jillguerra","Scientists",52
"@_jimaustin","Media",3815
"@_jni_","Scientists",192
"@_jni_","Media",192
"@_johnsawyer","Scientists",104
"@_johnsawyer","Applied",104
"@_joseaalves_","Scientists",234
"@_joshwheatley","Scientists",799
"@_joyng","Public",352
"@_jphelps","Scientists",231
"@_jtirado","Outreach",437
"@_julien_roux","Scientists",148
"@_jurassicjunkie","Public",179
"@_k_j_s","Public",3497
"@_ka04","Public",361
"@_kaitlinnicole","Public",399
"@_kate_crosby_","Scientists",242
"@_kateplummer","Scientists",590
"@_katepurcell","Scientists",376
"@_katiezin","Scientists",374
"@_kaylaf","Scientists",62
"@_kaylaf","Applied",62
"@_kcee","Public",83
"@_kgriffiths","Public",72
"@_kirts","Public",505
"@_klburke","Scientists",710
"@_kmetcalfe","Scientists",487
"@_korigarza","Scientists",23
"@_larthur","Public",2
"@_lauradeacon_","Scientists",54
"@_laurakhamilton","Public",332
"@_lebrownie","Public",519
"@_lindsayp","Media",308
"@_listenproject","Scientists",175
"@_louisemaria","Public",350
"@_lucywright","Scientists",333
"@_mangialafoglia","Media",261
"@_mariana_cortez","Public",105
"@_markallan_","Scientists",469
"@_martinholland","Public",598
"@_martynaa","Public",86
"@_marymontano","Public",323
"@_mass_","Public",632
"@_matti","Public",51
"@_mattio","Public",648
"@_mbay","Applied",1561
"@_mc_corkell","Public",406
"@_megaanleigh","Public",35
"@_megaterium","Public",442
"@_megmkelly_","Scientists",646
"@_michelle_96","Public",378
"@_microplastic","Scientists",78
"@_modscientist_","Scientists",1053
"@_modscientist_","Applied",1053
"@_mona_rose","Media",566
"@_mouses_house_","Public",296
"@_mpconsultants","Public",524
"@_mr__e","Public",147
"@_mr_santos_","Scientists",92
"@_mrs_ka_","Public",203
"@_nataliejade","Public",44
"@_naturescience","Public",707
"@_nfbr","Public",1222
"@_nickgolding_","Scientists",879
"@_nicolewang","Public",39
"@_nlthompson","Scientists",45
"@_northants_brc","Scientists",107
"@_oceanography","Scientists",3094
"@_olliepalmer","Public",740
"@_oscience","Media",13682
"@_osme","Media",1570
"@_papadakis","Public",419
"@_patcallahan","Public",147
"@_peddlerrr","Public",132
"@_peoplewatcher","Public",208
"@_philliplloyd","Scientists",343
"@_philmartin","Scientists",721
"@_philmartin","Media",721
"@_plantfish_","Scientists",4
"@_protski","Public",99
"@_puppet_master","Scientists",317
"@_r_j_f_p_l_","Scientists",379
"@_raheel786","Public",272
"@_rainflower","Media",780
"@_ramrs","Scientists",273
"@_reviresco","Public",494
"@_rewilding","Public",112
"@_riverrain","Scientists",114
"@_robsheldon","Public",863
"@_rosyd","Media",2177
"@_safeashouses_","Public",303
