"Name","Handle","Tweets","Followers","University","DaysSinceLastTweet","DateLastTweet","Last.tweet","ESDcheck_notes"
"Carlos Duarte","@duarteoceans",1071,1555,"U West Austr",3,"27-Mar","27-Mar",""
"Joshua Drew","@Drew_Lab",12500,2743,"Columbia",0,"30-Mar","24 h",""
"Jared Byrnes","@jebyrnes",5463,2863,"U Mass",0,"30-Mar","20 h",""
"Chris Harrod","@chris_harrod",5700,754,"u Antofagasta Chile",0,"30-Mar","31 min",""
"Mike Heithaus","@MikeHeithaus",351,697,"FIU",3,"27-Mar","27-Mar","RT"
"Jeff Corbin","@jeff_d_corbin",2602,542,"Union College",0,"30-Mar","3h",""
"Kendi Davies","@Davieskf",151,374,"U Colorado",10,"20-Mar","20-Mar","RT"
"Rob Cruickshank","@bugblokenz",4576,1378,"Lincoln U NZ",0,"30-Mar","10 h",""
"Joel McGlothlin","@jelmcglothlin",2912,1551,"V Tech",0,"30-Mar","23 h",""
"Michael Habib","@aeroevo",3835,913,"U So Cal",0,"30-Mar","12 h",""
"Liba Pejchar","@TheLibaLab",191,222,"Colorado State U",0,"30-Mar","8h","just tweeted"
"Megan Kelly","@_megmkelly_",3573,620,"LSSU",0,"30-Mar","28 m",""
"Scott Collins","@ESA_Prez2013",235,509,"U New Mex",2,"28-Mar","28-Mar",""
"Lauren McClenachan","@LMcClenachan",99,235,"Colby College",0,"30-Mar","9h ","RT "
"Steve Palumbi","@spalumbi",261,2022,"Stanford",0,"30-Mar","13h",""
"Jason West","@DrJBWest",771,253,"Texas A&M",4,"26-Mar","26-Mar",""
"Dries Bonte","@BonteDries",338,233,"Ghent U",6,"24-Mar","24-Mar",""
"Luke Harmon","@lukejharmon",550,1954,"u Idaho",7,"23-Mar","23-Mar",""
"Daniel Gruner","@GrunerLab",1320,414,"U Maryland",0,"30-Mar","31 m",""
"Amanda Vincent","@AmandaVincent1",1785,1255,"UBC",4,"26-Mar","26-Mar",""
"Sarah Otto","@sarperotto",72,760,"UBC",3,"27-Mar","27-Mar","RT"
"Emmett Duffy","@JEmmettDuffy",427,930,"Smithsonian",10,"20-Mar","20-Mar",""
"Peter Macreadie","@PeterMacreadie",941,564,"Deakin U",5,"25-Mar","25-Mar",""
"Don Boesch","@DonBoesch",3604,994,"U Maryland",0,"30-Mar","15h",""
"Bill Sutherland","@Bill_Sutherland",1243,8561,"Cambridge",0,"30-Mar","7h",""
"John Kelly","@johnkellymicro",1037,218,"Loyola U Chicago",3,"27-Mar","27-Mar",""
"Lars Gamfeldt","@Gamfeldt",1735,369,"U Gothemburg",2,"28-Mar","28-Mar",""
"Paul Harnik","@paulharnik",232,126,"Franklin & Marshall College",0,"30-Mar","46 m",""
"Sarah Bisbing","@SarahBisbing",1842,689,"Cal Poly",0,"30-Mar","19h","RT"
"Jennifer Costanzo","@jen_Costanza",189,139,"NC State U",2,"28-Mar","28-Mar","RT"
"Chris Stallings","@fishecologylab",34,56,"U South FL",4,"26-Mar","26-Mar",""
"Jane Williamson","@urchinhunter",717,327,"Macquarie U",5,"25-Mar","25-Mar",""
"Stephanie Pau","@stephanie_pau",29,26,"FSU",4,"26-Mar","26-Mar",""
