"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@betenoire1",NA,0,0,0,0,0,0,0,0,0,1,0
"@beefriendlys","we make beautiful packets of beefriendly wild flower seeds to grow plants rich in nectar pollen to help save our bees pick up a pack today",0,0,0,0,0,0,0,0,0,0,1
"@kasiamusial","chief of social sustainability lstkronoberg promotes sustainable decision making ethical behavior social justice environmental care",0,0,0,0,0,0,0,0,0,0,1
"@allohexaploid","geneticist pathologist with research interests in crops for the future noise techno acetate enthusiast in my spare time ",0,0,0,1,0,0,0,0,0,0,0
"@cultivate_ie","permaculture courses green building community resilience events more bbconf sustainableireland",0,0,0,0,0,0,0,0,0,0,1
"@jared_streich",NA,0,0,0,0,0,0,0,0,0,1,0
"@ed_reckoning","web developer for amusedomcom web publishing by artists to serve artists periodically afflicted with obsessivecompulsive detailed drawing disorder ocddd",0,0,0,0,0,0,1,0,0,0,0
"@alyxei1","writer masters student politically militant by necessity",0,1,0,0,0,0,0,0,0,0,0
"@aemarcy","biologist educational game designer current fulbright scholar in australia",0,1,0,0,0,0,0,0,0,0,0
"@annicac",NA,0,0,0,0,0,0,0,0,0,1,0
"@bethskw","science writer interested in complex workings of the human body microbiomes more",0,0,0,0,0,0,1,0,0,0,0
"@fishnmen","a film that explores the changing fishing industry while attempting to help the consumer the environmentalist the fisherman ocean conservation",0,0,0,0,0,0,1,0,0,0,0
"@getleashed","a digital hub for modern pet owners lifestyle celebrity travel fashion home health tips treats the pets you love",0,0,0,0,0,0,0,0,0,0,1
"@angelsharpmedia","documentary factual film production house tweets from hannah daniel jonathan titas",0,0,0,0,0,0,1,0,0,0,0
"@anonymouskenya1","conscience of kenya humanrights truth justice freedom equality anonymous stopthensa opfunkill rts are not endorsements",0,0,0,0,0,0,0,0,0,0,1
"@engelhardgeorg","marine biology fisheries historical ecology climate change",0,0,0,1,0,0,0,0,0,0,0
"@gonency",NA,0,0,0,0,0,0,0,0,0,1,0
