"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@kutzleb","microbiology enthusiast coffee connoisseur loves cats maintaining homeostasis",0,0,0,1,0,0,0,0,0,0,0
"@petermlittle","vati advocate fixer europhile traveller hippie comunista gixer git arboramator ornithologist",0,0,0,1,0,0,0,0,0,0,0
"@wiresrna","authoritative encyclopedic review publication on molecular science rna research",0,0,0,1,0,0,0,0,0,0,0
"@tabbzana","entrepreneur lifelong social media lover infuriatingly humble twitter specialist",0,0,0,0,0,0,0,0,0,0,1
"@thecodfathers","sustainable fishmongers suppliers to the okanagans best restaurants interiors biggest fish market",0,0,0,0,0,0,0,0,0,0,1
"@saskmary","kicking ass one pathology slide at a time i dont work on dead people i work on bits of live people",0,0,0,1,0,0,0,0,0,0,0
"@rachelmalatji2","no stress at al de times",0,0,0,0,0,0,0,0,0,0,1
"@miffycoral","21marine biologist lancaster university love sharks travelling is awesome ",0,0,0,1,0,0,0,0,0,0,0
"@thinkgrasssnake","conserving jerseys grass snakes conservation snakes research thinkgrasssnake",0,0,0,0,0,0,0,0,0,0,1
"@virusemergentes","cuenta asociada al blog de miguel a jimnez sobre virus emergentes en un contexto de cambio global visita el blog http tco sylo68z5wx",0,0,0,0,0,0,1,0,0,0,0
"@quinceyjustman","editor at cellsystems cellpress ucsf reed college alumna apartmentgardener cyclist design nerd nurse to a geriatric cat my opinions are my own",0,0,0,0,0,0,1,0,0,0,0
"@mantatrust","striving for sustainable conservation of mobula mantarays tweets on sharks rays oceans by dannydives",0,0,0,0,0,0,0,0,0,0,1
"@mleishman1","michelle is a plant ecologist at macquarie university with research interests in invasive plants climate change conservation biology",0,0,0,1,0,0,0,0,0,0,0
"@stableisotopes","isocamp is a short course for graduate students young researchers in the study of stable isotopes in ecology environmental studies",0,1,0,0,0,0,0,0,0,0,0
"@meli_melo_2010","on a life long mission to learn grow inspire be inspired be the best version of myself that i can be",0,0,0,0,0,0,0,0,0,0,1
"@spotonlondon","spotonlondon solo14 is a conference hosted by nature about how science is carried out communicated online november 14 15 http tco jzabjnlxbw",0,0,0,0,0,1,0,0,0,0,0
"@kriota","multiinterdisciplinaryanatomicallyinclinedartistbonvivant needlework drawing education",0,0,0,0,0,0,0,0,0,0,1
"@marialuvsbosco","laughing is my favorite",0,0,0,0,0,0,0,0,0,0,1
"@sarahvray","phd student in biology",0,1,0,0,0,0,0,0,0,0,0
